,0.2,0.5,1.0,2.0
5,0.24289116876027947,0.22322804029645052,0.1272707271192406,0.02561346618306918
10,0.2559340631812926,0.19169266102985932,0.06961594671723116,0.0020503076387377262
15,0.23754832771588663,0.17821227129321346,0.019665536823962788,0.00011103641910813367
20,0.20633009150436205,0.12822123836955565,0.012684435847878223,8.968534035644903e-06
25,0.22563705131913803,0.09990318385590471,0.009214689962667735,2.308070084768854e-06
30,0.1925839374580976,0.06582976850528746,0.00269190616815144,1.7886693856050683e-08
35,0.17850399694329502,0.057579360279225604,0.0028032323567062432,1.2797912567474868e-08
40,0.18867401864782699,0.07779344619031585,0.00043035276586550817,1.0300923114492378e-10
45,0.16142944973371237,0.042613210206046685,0.0002845028943860883,3.876338139363611e-12
50,0.19456070883251123,0.03531266234403343,0.0002382991491585207,4.241405004989929e-12
55,0.1718939737436637,0.01990789999830284,3.926198614859211e-05,1.1812772982011666e-15
60,0.17068599681183882,0.023703538416952056,3.563495424631746e-05,6.278833009076834e-13
65,0.18662295922361583,0.030515349125596888,3.1236014687747726e-05,3.7747582837255325e-17
70,0.1429656439077303,0.025585709094268615,1.7505373470394491e-06,5.551115123125783e-18
75,0.186481919355955,0.013652257573529576,1.7103134732454617e-06,3.3306690738754695e-18
80,0.14166794766643598,0.01920599702186999,1.0028405380058113e-06,0.0
85,0.1343145446007864,0.009179545296875926,5.551854290630764e-07,0.0
90,0.12788321002326766,0.013979529659499975,1.0256451786483378e-06,0.0
95,0.14216362190753773,0.006485884692691886,1.1763606454562314e-06,0.0
100,0.12297625494123736,0.014922786403455537,2.3495189052091802e-08,0.0
105,0.1253998308667313,0.004927529464052714,4.3040473927113965e-08,0.0
110,0.13084193377850106,0.0038875510809911386,7.910606719674363e-09,0.0
115,0.11440577715805013,0.004587941638194672,1.3510682041999456e-05,0.0
120,0.12047692558222751,0.0037741607964692924,3.898085194631307e-09,0.0
125,0.12331822857376513,0.002076809696993248,9.872250572584562e-11,0.0
130,0.13584096568779208,0.0015555955413671385,9.219681373906496e-10,0.0
135,0.10070557556459737,0.002702440970201332,1.1730437166068697e-09,0.0
140,0.10365179094389922,0.0008021036217499689,3.147598381936234e-10,0.0
145,0.11078247641133887,0.001760959469832708,1.4266230419224257e-11,0.0
150,0.09637275552024416,0.0006070999517528653,3.10200742870137e-11,0.0
155,0.09380595346626334,0.0006802430860213149,2.0901156361219365e-11,0.0
160,0.09582771896309436,0.0006557118054424638,2.4026264311416413e-11,0.0
165,0.12331256386701096,0.0005874955688542205,1.0307010800403304e-12,0.0
170,0.0948305360267906,0.0008327835825433704,2.841649138218827e-13,0.0
175,0.08485187556733806,0.00013472547958108262,8.820721930646869e-15,0.0
180,0.08844542487585576,0.0002515496216261126,7.241962585169403e-13,0.0
185,0.07511006125269491,0.00041210533856163246,4.348743587456738e-15,0.0
190,0.08085870039122887,7.272090198233827e-05,1.8052226380405047e-15,0.0
195,0.06383765000574938,6.162876554111519e-05,8.293254971647457e-14,0.0
200,0.08308247038432107,8.013287370640665e-05,1.099120794378905e-16,0.0
